title,content,tokens
Page 1,"Bienvenida 1💯 Bienvenida Un paso súper importante dentro de la experiencia Koltin es que puedan tener una buena bienvenida, te explicamos de qué va. 1er paso. Una vez que se haya hecho el pago, recibió su recibo de pago, dentro de su mail un “call to action” es que puedan agendar una llamada/videollamada de bienvenida donde podamos tener contacto con la persona adulta mayor , para explicarle qué hacer en caso de querer usar su seguro y que sepa que estamos siempre para apoyarla, idealmente se agenda la primer consulta de presentación con la geriatra de cabecera. Este paso no es obligatorio, sin embargo lo recomendamos muchísimo. Te pedimos que hagas lo posible porque el contratante sepa la importancia de este paso y que si bien no es obligatorio es importante para que la persona sepa que hacer en caso de urgencia, si requiere de atención médica etc. 2do paso. Si se agendó la llamada de bienvenida y se tuvo con éxito, lo que pasará es que se le recomienda que tenga una cita con la geriatra y así podamos darle los mejores tips, recetas, rutinas y comience a usar sus servicios desde el día 1 y todos los días si así lo quiere. 3er paso. 1er paso. 2do paso. 3er paso.",419
Page 2,"Bienvenida 2Mientras suceden las llamadas y consultas, un “pequeño duende Koltin” preparó empacó y envío el kit de bienvenida físico al domicilio indicado, y se compartirá al contratante la guía de rastreo. Esto sucederá en un lapso de 3 a 7 días desde que contrató.",106
Page 3,"¿Cómo bajamos el riesgo? 1⬇ ¿Cómo bajamos el riesgo? Tenemos un equipo médico (Are y Jazz, ya la conocerás pronto) que se dedica a estar en seguimiento contante con las grandes personas de Koltin. A través de: A través de:",98
Page 4,"Consentimiento de Alta 1🧾 Consentimiento de Alta Para poder dar de alta una póliza vamos a necesitar que el contratante junto con el asegurado llenen un consentimiento de alta, que básicamente es el documento que indica que está consciente de que va a darle de alta un SGMM y que lo que está poniendo en ese documento es real y fidedigno. Video explicativo 📹 Aquí te dejamos un video donde verás cómo se llena un consentimiento. ¡Échale un ojo! aquí Descarga el consentimiento de alta https://s3-us-west-2.amazonaws.com/secure.notion-static.com/2170b0af-dad4-4 0ef-aa10-9be9e9e99f2b/Descargable_Consentimiento.pdf Instrucciones de llenado de consentimiento Video explicativo Descarga el consentimiento de alta Instrucciones de llenado de consentimiento ¡A llenar el consentimiento! Recomendaciones: Envío de consentimiento",312
Page 5,"Consentimiento de Alta 2https://s3-us-west-2.amazonaws.com/secure.notion-static.com/23f250f7-1701-4f a9-9fda-08b0b65b3cb0/Instrucciones_llenado_consentimiento.pdf ¡A llenar el consentimiento! ¿Quién lo llena? Lo puede llenar el contratante (familiar) o adulto mayor . Recomendaciones: 1. Si ya tienes los datos principales puedes hacer el pre-llenado y enviarselo solo para que termine de llenar los datos faltantes o ya solo pongan la firma. a. 💡 Un aprendizaje que seguro tu más que nosotros sabe, es que entre menos trabajo de demos al cliente habrá menos fricciones para cerrar la venta. 2. Si el contratante desea llenarlo solo, está bien, solo indícale los campos a llenar y antes de enviarlo revisa que este correcto. Envío de consentimiento ¿Ya está firmado, legible y todo correcto? Listo! Ahora puedes enviarlo a hola@koltin.com.mx para que un agente Koltin pueda verificarlo y responderte sobre este mismo mail, y este proceso no debe demorar ni un día hábil, debe ser en el mismo día en un lapso de 2 horas máximo después de que lo envíes. Te recomendamos que mientras se revisa que todo este correcto, puedas hacer la liga de pago y la tengas lista para enviarla al cliente y se cierre la venta.",466
Page 6,"Consultas Médicas 1❓ Consultas Médicas 💡Koltin T ip: Toma mucha agua, retrasa el envejecimiento; el cuerpo también se oxida. ¿Cómo son las consultas? Las consultas son con médicos y trabajadores de la salud certificados y son a través de video consulta o llamada telefónica. ¿Qué tipo de médicos especialistas tienen? Geriatras, Gerontólogas y Nutriólogas. ¿Qué es una Geriatra? El geriatra es un especialista médico, que tiene como propósito incidir en la condición del proceso salud-enfermedad que se representa por la funcionalidad geriátrica del paciente adulto mayor ¿Cómo son las consultas? ¿Qué tipo de médicos especialistas tienen? ¿Qué es una Geriatra? ¿Qué es una Gerontóloga? ¿Mandan receta médica? ¿Cuál es el tiempo de duración de la consulta? ¿Con qué plataforma hacen las videoconsultas? ¿Las consultas son para emergencias?",335
Page 7,"Consultas Médicas 2¿Qué es una Gerontóloga? Es la persona profesional del área de la salud de manera integral que atiende la triada envejecimiento, vejez y persona mayor dentro de un contexto biológico, psicológico, social y espiritual. ¿Mandan receta médica? En caso de tener la consulta con la geriatra y si así lo amerita sí, se envía una receta digital, que tiene las mismas características y validez que una receta médica física e impresa. ¿Cuál es el tiempo de duración de la consulta? Las consultas tienen una duración de 30 minutos. ¿Con qué plataforma hacen las videoconsultas? Se pueden hacer videoconsultas a través de zoom, se le indican los accesos. ¿Las consultas son para emergencias? No, son consultas de diagnóstico y seguimiento, disponibles de lunes a viernes de 9 am a 6 pm. (sábados de 9 am a 1 pm, por el momento esta opción no se encuentra disponible).",323
Page 8,"Contratación 1❓ Contratación 💡Koltin T ip: Dormir más de 7 horas por noche mejora la concentración y la retención de información. ¿Facturan el seguro? Sí, facturamos. La factura será deducible de IV A, sin embargo no es una factura como cualquier otro seguro, ya que somos intermediarios, y quien es la aseguradora es BBVA, no Koltin. ¿Cuál es la forma de pago? El pago se hace como suscripción, es decir puede elegir entre pagarlo de forma mensual o anual y que se cargue directo a tarjeta de crédito o de débito. Aceptamos todas las tarjetas bancarias. ¿La póliza es vitalicia? Sí, siempre y cuando sigan haciendo los pagos y renovaciones. Para contrataciones nuevas tienen hasta los 84 años 1 1 meses. ¿Cuál es el proceso de contratación? ¿Facturan el seguro? ¿Cuál es la forma de pago? ¿La póliza es vitalicia? ¿Cuál es el proceso de contratación?",339
Page 9,Contratación 21. Enviar datos de contratante (familiar que contrata o puede ser el propio adulto mayor) y asegurado. a. Nombre completo b. Fecha de nacimiento c. Dirección completa donde puedan recibir paquetería d. Teléfono celular e. E-mail f. RFC 2. Consentimiento de Alta a. Deberán llenar de forma digital o física (de preferencia digital) b. Firma del asegurado c. Deberán llenar los antecedentes médicos de del asegurado siendo lo mas claro posible. 3. Enviar Consentimiento firmado 4. Pagar con tarjeta de crédito o débito el link de pago,204
Page 10,"Costos bajos en medicamentos 1💊 Costos bajos en medicamentos Aquí encontrarás más detalle de la asistencia de búsqueda de medicamentos a bajos costos. ¿Son descuentos o costos preferenciales? No, lo que hacen los asesores Koltin es hacer la búsqueda de medicamentos que ya toma o que le receten nuestras especialistas. Esta búsqueda se hace con diversas farmacias principalmente digitales y tradicionales, para encontrar las opciones más bajas, se le envía una cotización a la persona y deciden si pedir 1, 2, todos o ningún medicamento. Cotizar los medicamentos no tiene ningún costo. No hay un % específico ni un rango, depende de los proveedores, periodicidad, etc. ¿Trabajan con ciertas farmacias? Lo que hacemos es buscar las mejores opciones en precios pensando en el bienestar financiero de nuestras grandes personas. Es por eso que no estamos “casados” con ningún proveedor de forma exclusiva. ¿Son descuentos o costos preferenciales? ¿Trabajan con ciertas farmacias? Rangos de edades Tipo de medicamentos ¿Qué cubre? ¿Qué no cubre? Tiempos de espera Horarios de atención Nivel de atención",401
Page 11,"Costos bajos en medicamentos 2Recientemente estamos cerrando una alianza con VIT AU (Farmacia digital) para tener costos preferenciales. T e estaremos contando más muy pronto . Rangos de edades Desde los 50 hasta los 84 años. Tipo de medicamentos Todo tipo de medicamentos, para los que son controlados, se pedirá copia digital de la receta digital. ¿Qué cubre? Aquí te contamos que SÍ cubre. 1. Ayuda de asesores Koltin para buscar los precios más bajos. 2. Cotizaciones ilimitadas 3. Entregas a domicilio sin costo, en un tiempo de 3 a 5 días hábiles una vez hecho el pago. ¿Qué no cubre? 1. Costo de medicamentos. 2. Los precios pueden variar por día, por lo que si se cotiza y pasa 1 día sin hacer la solicitud y pago no se puede asegurar que el costo se modifique, ya que se depende del proveedor . Tiempos de espera",298
Page 12,"Costos bajos en medicamentos 31 DÍAS : A partir del día siguiente hábil de la compra del seguro se podrá usar el seguro de accidentes. Horarios de atención De lunes a viernes de 9 am a 6 pm (Hora Ciudad de México) Nivel de atención Una vez que se indica la lista de medicamentos, el tiempo para realizar la cotización es de 2 horas.",128
Page 13,"Costos pref. en laboratorios 1🧪 Costos pref. en laboratorios Aquí encontrarás más detalle de la asistencia de costos preferenciales de estudios médicos. ¿Con qué laboratorios tienen convenio? Con Laboratorios Chopo a nivel nacional y Examedi enCiudad de México y Área Metropolitana . En el caso de que la persona requiera costos accesibles de otros laboratorios cercanos a su domicilio, se hace una búsquedas, y de igual forma se pueden buscar opciones de exámenes de laboratorio a domicilio (Ciudad de México y Área Metropolitana, para que no las personas que prefieren no salir o tienen poca movilidad ¿Hay un % fijo de descuento? No, es solo costo preferencial, que puede ser variable y dependerá de el estado de la república, sucursal, tipo de examen médico etc. Rangos de edades Desde los 50 hasta los 84 años. ¿Con qué laboratorios tienen convenio? ¿Hay un % fijo de descuento? Rangos de edades ¿Qué cubre? ¿Qué no cubre? Tiempos de espera Horarios de atención Nivel de atención",365
Page 14,"Costos pref. en laboratorios 2¿Qué cubre? Aquí te contamos que SÍ cubre. 1. Ayuda de asesores Koltin para realizar la precotización de exámenes médicos, para que evalúe el cliente si tomar esa opción o no. 2. Cotizaciones ilimitadas ¿Qué no cubre? 1. Costo de laboratorios 2. Los precios pueden variar por día, por lo que si se cotiza y pasa 1 día sin hacer la solicitud y pago no se puede asegurar que el costo se modifique, ya que se depende del proveedor . Tiempos de espera 1 DÍAS : A partir del día siguiente hábil de la compra del seguro se podrá usar el seguro de accidentes. Horarios de atención De lunes a viernes de 9 am a 6 pm (Hora Ciudad de México) Nivel de atención Una vez que se indica la lista de medicamentos, el tiempo para realizar la cotización es de 3 horas.",296
Page 15,"Costos preferenciales 1❔ Costos preferenciales 💡Koltin Frase: “Un seguro claro, transparente y sin letras chiquitas es posible” ¿Cuál es el descuento en medicamentos y laboratorios? Todos los descuentos preferenciales dependen del tipo de estudio de laboratorio y/o medicamento, esto puede variar de acuerdo a la fecha de cotización y no es un descuento, buscamos los precios más bajos con nuestros aliados. ¿Con qué laboratorios trabajan? Trabajamos con Laboratorios Chopo. ¿Envían el medicamento a casa? Una vez que buscamos los precios más bajos, se envía una cotización, y si desea uno o todos los medicamentos se hace el pago, se hace el pedido y se envían al domicilio que indique el cliente, a nivel nacional, el paquete se entrega entre 3 y 5 días después de hacer el pedido. ¿Cuál es el descuento en medicamentos y laboratorios? ¿Con qué laboratorios trabajan? ¿Envían el medicamento a casa?",341
Page 16,"Datos contratante/Asegurado 1📒 Datos contratante/Asegurado Aquí te dejamos los principales datos que necesitarás de el contratante y asegurado. ¿Quién es el contratante ante la aseguradora? El contratante es Koltin, nuestra razón social es “Aplicaciones Gerontológicas SAPI de CV”. Ante la aseguradora (BBV A Seguros Salud) somos los contratantes ya que nuestra póliza es colectiva. ¿A quién nos referimos entonces como contratante cuándo pedimos esos datos? Nos referimos a la persona que está haciendo la contratación en Koltin y quien hace el pago, y a quien le daremos lata cuando sus pagos no pasen a quien le diremos cómo vamos con el seguimiento de su familiar . Normalmente el contratante es un familiar del adulto mayor , ya sea que sea el hij@, sobrin@, niet@ o familiar cercano. ¿Puede contratar el propio adulto mayor para sí mismo? ¿Quién es el contratante ante la aseguradora? ¿A quién nos referimos entonces como contratante cuándo pedimos esos datos? ¿Puede contratar el propio adulto mayor para sí mismo? Datos que necesitamos: Contratante: Asegurado:",388
Page 17,"Datos contratante/Asegurado 2Sí. Puede ser el contratante y además el asegurado. Datos que necesitamos: Contratante: Nombre completo (Nombre y Apellidos) Fecha de nacimiento (Día/Mes/Año) RFC Domicilio completo (Calle, número exterior , interior , colonia, alcaldía/municipio, estado y C.P .) Teléfono celular (De preferencia donde pueda recibir llamadas y WhatsApp) E-mail Asegurado: Nombre completo (Nombre y Apellidos) Fecha de nacimiento (Día/Mes/Año) RFC Domicilio completo (Calle, número exterior , interior , colonia, alcaldía/municipio, estado y C.P .) Nota. Es súper importante este dato ya que aquí enviaremos su kit de bienvenida) Teléfono celular (De preferencia donde pueda recibir llamadas y WhatsApp, en caso de no tener un número donde pueda recibir llamadas) E-mail (en caso de no tener , puede ser el del contratante o de alguien muy cercano y que le pueda compartir la información que reciba de Koltin)",357
Page 18,"Emisión de póliza 1📥 Emisión de póliza Te dejamos un ejemplo de un certificado de póliza y algunos datos importantes. Proceso 1. Una vez que recibimos el consentimiento, y se confirma el pago, enviamos el alta a BBVA Seguros Salud, recibimos confirmación y se emite el certificado de beneficios. ¡Así de rápido! 🚅 Diferencia entre Certificado Koltin y Carátula de póliza BBVA 📹 Checa el video explicativo: Aquí te dejamos un video, donde te explicamos la diferencia. Y por si no quedo tan claro, también te dejamos un documento explicativo, lo puedes descargar👇 Proceso Diferencia entre Certificado Koltin y Carátula de póliza BBV A Importante 1. El certificado de beneficios Koltin le llega 1 hora posterior a la contratación. 2. La carátula de póliza le llega en 7 días hábiles posterior a la contratación. 3. En un lapso de 3 a 7 días hábiles recibirá su kit de bienvenida.",339
Page 19,"Emisión de póliza 2https://s3-us-west-2.amazonaws.com/secure.notion-static.com/32ad46e9-192d-4 d8e-934d-b4c95a419619/CertificadoVSCaratula.pdf Importante 1. El certificado de beneficios Koltin le llega 1 hora posterior a la contratación. Llegará de forma digital al mail que registró el contratante junto con las “Letras GRANDES” condiciones generales. 2. La carátula de póliza le llega en 7 días hábiles posterior a la contratación. Le llegará de forma digital al mail que registró el contratante. 3. En un lapso de 3 a 7 días hábiles recibirá su kit de bienvenida. Dentro del kit de bienvenida viene su certificado impreso, tarjeta y otras cositas muy útiles para usar su seguro",262
